imageid,imageType,model,loss,classType,colorMode,clean,crop,resize,colorCorrect,baseTrain,activation,wloss,lr,learningDecay,earlyStop,epochsMax,epochs,voting," trainTime"," accuracy"
102,ALL,resnet101,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,199.63138846899528,69
103,ALL,resnet101,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,150,0,151.83853975000238,77
104,ALL,densenet,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,195.84403801099688,80
105,ALL,densenet,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,191.9391697720057,80
106,ALL,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,142,0,139.6973344040016,77
107,ALL,densenet,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,185,0,178.83860569300305,83
108,ALL,inceptionResnet,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,215.70408316300018,63
109,ALL,inceptionResnet,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,212.60770848800166,63
110,ALL,inceptionResnet,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,169,0,181.43245900500187,69
111,ALL,inceptionResnet,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,218.79786894100107,72
112,ALL,vgg16,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,96,0,88.10101845899771,50
113,ALL,vgg19,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,97,0,90.08703517300455,50
114,ALL,inception,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,96,0,90.07272383999953,52
115,ALL,xception,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,181.3402765110004,52
116,ALL,resnet50,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,127,0,117.39231706500141,55
117,ALL,resnet101,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,98,0,98.03397487499751,52
118,ALL,densenet,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,98,0,92.62781224399805,50
119,ALL,inceptionResnet,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,101,0,110.2609225060005,55
120,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,141,0,75.5192167040077,72
121,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,169,0,83.18594168900745,82
122,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,161,0,77.50843421999889,73
123,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,104,0,55.64400454999122,72
124,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,111,0,59.782556214995566,61
125,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,134,10,72.62850079599593,66
126,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,186,10,90.61668144998839,58
127,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,164,10,79.54769609399955,68
128,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,104,10,55.593305030997726,61
129,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,96,10,52.087069173998316,50
